"No.","Time","Source","Destination","Protocol","Length","Info"
"978","39.120257","192.168.1.12","40.79.167.8","TLSv1.2","133","Application Data"
"979","39.120356","192.168.1.12","40.79.167.8","TLSv1.2","93","Application Data"
"980","39.120385","192.168.1.12","40.79.167.8","TLSv1.2","851","Application Data"
"981","39.464150","192.168.1.12","40.79.167.8","TCP","969","[TCP Retransmission] 20086  >  443 [PSH, ACK] Seq=1869 Ack=240 Win=252 Len=915"
"982","39.482343","40.79.167.8","192.168.1.12","TCP","66","443  >  20086 [ACK] Seq=240 Ack=1948 Win=16384 Len=0 SLE=1987 SRE=2784"
"983","39.482343","40.79.167.8","192.168.1.12","TCP","60","443  >  20086 [ACK] Seq=240 Ack=2784 Win=16381 Len=0"
"984","39.482343","40.79.167.8","192.168.1.12","TLSv1.2","93","Application Data"
"985","39.526114","192.168.1.12","40.79.167.8","TCP","54","20086  >  443 [ACK] Seq=2784 Ack=279 Win=251 Len=0"
"986","39.738787","163.70.145.60","192.168.1.12","TCP","278","5222  >  19948 [PSH, ACK] Seq=83697 Ack=37932 Win=5544 Len=224"
"987","39.738787","40.79.167.8","192.168.1.12","TCP","66","[TCP Dup ACK 983#1] 443  >  20086 [ACK] Seq=279 Ack=2784 Win=16381 Len=0 SLE=1869 SRE=2784"
"988","39.738787","40.79.167.8","192.168.1.12","TLSv1.2","154","Application Data"
"989","39.740141","192.168.1.12","40.79.167.8","TLSv1.2","89","Application Data"
"990","39.793777","192.168.1.12","163.70.145.60","TCP","54","19948  >  5222 [ACK] Seq=37932 Ack=83921 Win=510 Len=0"
"991","39.855253","163.70.145.60","192.168.1.12","TCP","278","[TCP Spurious Retransmission] 5222  >  19948 [PSH, ACK] Seq=83697 Ack=37932 Win=5544 Len=224"
"992","39.855291","192.168.1.12","163.70.145.60","TCP","66","[TCP Dup ACK 990#1] 19948  >  5222 [ACK] Seq=37932 Ack=83921 Win=510 Len=0 SLE=83697 SRE=83921"
"993","39.912254","192.168.1.12","8.8.4.4","QUIC","95","Protected Payload (KP0), DCID=ec8129956d7188e8"
"994","39.912345","192.168.1.12","8.8.4.4","QUIC","95","Protected Payload (KP0), DCID=ec8129956d7188e8"
"995","39.981935","192.168.1.12","8.8.4.4","QUIC","95","Protected Payload (KP0), DCID=ec8129956d7188e8"
"996","40.030265","192.168.1.12","8.8.4.4","QUIC","82","Protected Payload (KP0), DCID=ec8129956d7188e8"
"997","40.030921","192.168.1.12","8.8.4.4","QUIC","82","Protected Payload (KP0), DCID=ec8129956d7188e8"
"998","40.031692","192.168.1.12","142.251.43.99","QUIC","1292","Initial, DCID=9c7b3364a63867f0, PKN: 1, PING, CRYPTO, PING, PING, CRYPTO, CRYPTO, CRYPTO, PING"
"999","40.031948","192.168.1.12","142.251.43.99","QUIC","1292","Initial, DCID=9c7b3364a63867f0, PKN: 2, PING, PING, PING, PING, CRYPTO, CRYPTO"
"1000","40.032268","192.168.1.12","142.251.43.99","QUIC","118","0-RTT, DCID=9c7b3364a63867f0"
"1001","40.032771","192.168.1.12","142.251.43.99","QUIC","829","0-RTT, DCID=9c7b3364a63867f0"
"1002","40.093461","192.168.1.12","40.79.167.8","TCP","89","[TCP Retransmission] 20086  >  443 [PSH, ACK] Seq=2784 Ack=379 Win=251 Len=35"
"1003","40.093672","192.168.1.12","142.251.43.99","QUIC","1292","Initial, DCID=9c7b3364a63867f0, PKN: 6, PING, CRYPTO, CRYPTO, PADDING, PING, PING, PADDING, PING, PING, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PING"
"1004","40.093772","192.168.1.12","142.251.43.99","QUIC","1292","Initial, DCID=9c7b3364a63867f0, PKN: 7, CRYPTO, CRYPTO, CRYPTO, PING, PADDING, PING, CRYPTO, PADDING, CRYPTO, PING, PING, PADDING, CRYPTO, PADDING, PING, PING, PADDING, PING, PADDING, CRYPTO, PING, CRYPTO"
"1005","40.093816","192.168.1.12","142.251.43.99","QUIC","1292","Initial, DCID=9c7b3364a63867f0, PKN: 8, PADDING, PING, PADDING, PING, PADDING, PING, PADDING, CRYPTO, PING, PING, PADDING, CRYPTO, PING, PADDING, PING, PING, CRYPTO, CRYPTO, CRYPTO, PING"
"1006","40.093942","192.168.1.12","142.251.43.99","QUIC","1292","Initial, DCID=9c7b3364a63867f0, PKN: 9, PING, PADDING, PING, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PADDING"
"1007","40.138568","192.168.1.12","163.70.145.60","TCP","130","19948  >  5222 [PSH, ACK] Seq=37932 Ack=83921 Win=510 Len=76 [TCP PDU reassembled in 1328]"
